project_id,period_end,PV,EV,AC,CPI,SPI,CV,SV,ml_risk
P022,2021-08-31 22:40:53.848007,7758.110477714437,7203.959729306263,72746.43,0.09902836096982717,0.9285714285714286,-65542.47027069372,-554.150748408174,0.5276772586094522
P022,2021-09-30 22:40:53.848007,,0.0,5217.475,0.0,,-5217.475,,0.55
P022,2021-10-31 22:40:53.848007,5534.889613240911,1660.4668839722733,43727.489650000025,0.03797306676561691,0.3,-42067.02276602775,-3874.4227292686373,0.8441148132789107
P022,2021-11-30 22:40:53.848007,,0.0,,,,,,0.0
P022,2021-12-31 22:40:53.848007,4559.045119783289,0.0,26831.6,0.0,0.0,-26831.6,-4559.045119783289,1.0
P022,2022-01-31 22:40:53.848007,14564.900315748884,815.6344176819375,159414.4699999999,0.005116439038952599,0.056,-158598.835582318,-13749.265898066948,0.9719859585285762
P022,2022-02-28 22:40:53.848007,1778.542885897834,0.0,7087.515,0.0,0.0,-7087.515,-1778.542885897834,1.0
P022,2022-03-31 22:40:53.848007,,0.0,131081.82,0.0,,-131081.82,,0.55
P022,2022-04-30 22:40:53.848007,,0.0,80088.974,0.0,,-80088.974,,0.55
P022,2022-05-31 22:40:53.848007,,0.0,2580.0,0.0,,-2580.0,,0.55
P022,2022-06-30 22:40:53.848007,5614.75,5614.75,6897.400000000002,0.8140386232493401,1.0,-1282.6500000000024,0.0,0.10227875721286298
P022,2022-07-31 22:40:53.848007,,0.0,47892.13000000002,0.0,,-47892.13000000002,,0.55
P022,2022-08-31 22:40:53.848007,,0.0,30901.95,0.0,,-30901.95,,0.55
P022,2022-09-30 22:40:53.848007,,0.0,6696.985000000001,0.0,,-6696.985000000001,,0.55
P022,2022-10-31 22:40:53.848007,,0.0,11570.0,0.0,,-11570.0,,0.55
P022,2022-11-30 22:40:53.848007,,0.0,4008.49,0.0,,-4008.49,,0.55
P022,2022-12-31 22:40:53.848007,20029.58837329084,17593.990427098674,34010.799999999996,0.5173059859544226,0.8784,-16416.809572901322,-2435.597946192167,0.3202017077250676
P022,2023-01-31 22:40:53.848007,,0.0,19291.025000000005,0.0,,-19291.025000000005,,0.55
P022,2023-02-28 22:40:53.848007,,0.0,13840.0,0.0,,-13840.0,,0.55
P022,2023-03-31 22:40:53.848007,,0.0,,,,,,0.0
P022,2023-04-30 22:40:53.848007,5992.185520802885,1348.241742180649,21548.605000000007,0.06256747210228451,0.225,-20200.363257819357,-4643.943778622235,0.8643378903437435
P022,2023-05-31 22:40:53.848007,16000.0,0.0,,,0.0,,-16000.0,0.45
P022,2023-06-30 22:40:53.848007,21091.42972990333,21091.42972990333,59053.17020000001,0.35715999087722694,1.0,-37961.74047009667,0.0,0.3535620050175252
P022,2023-07-31 22:40:53.848007,4607.621052631579,3784.8315789473686,11490.0,0.3294022261921121,0.8214285714285715,-7705.168421052631,-822.7894736842104,0.44918591845148115
P022,2023-08-31 22:40:53.848007,8497.692307692309,9347.46153846154,49348.49949999999,0.18941734061157306,1.1,-40001.03796153845,849.7692307692323,0.44582046266363484
P022,2023-09-30 22:40:53.848007,2500.0,2500.0,11252.710000000003,0.22216870424990953,1.0,-8752.710000000003,0.0,0.4278072126625498
P022,2023-10-31 22:40:53.848007,12750.0,19125.0,5722.72,3.3419422931752734,1.5,13402.279999999999,6375.0,0.0
P022,2023-11-30 22:40:53.848007,,0.0,5849.178,0.0,,-5849.178,,0.55
P022,2023-12-31 22:40:53.848007,6900.0,6900.0,10703.960000000003,0.6446212429792337,1.0,-3803.9600000000028,0.0,0.19545831636142147
P022,2024-01-31 22:40:53.848007,,0.0,3904.88,0.0,,-3904.88,,0.55
P022,2024-02-29 22:40:53.848007,8704.1064,5113.66251,46335.41999999999,0.11036184650964642,0.5875,-41221.75748999999,-3590.4438900000005,0.6749259844196944
P022,2024-03-31 22:40:53.848007,,0.0,5390.78,0.0,,-5390.78,,0.55
P022,2024-04-30 22:40:53.848007,,0.0,12410.0,0.0,,-12410.0,,0.55
P022,2024-05-31 22:40:53.848007,,0.0,3182.03,0.0,,-3182.03,,0.55
P022,2024-06-30 22:40:53.848007,6209.108152811174,4669.249330914003,4651.945420000001,1.0037197149475587,0.752,17.30391091400179,-1539.8588218971709,0.1116
P022,2024-07-31 22:40:53.848007,6388.8689883720945,4685.170591472869,15444.99,0.30334565392874124,0.7333333333333333,-10759.819408527132,-1703.6983968992254,0.5031598903391924
P022,2024-08-31 22:40:53.848007,,0.0,920.0,0.0,,-920.0,,0.55
P022,2024-09-30 22:40:53.848007,,0.0,1141.81,0.0,,-1141.81,,0.55
P022,2024-10-31 22:40:53.848007,,0.0,5576.5,0.0,,-5576.5,,0.55
P022,2024-11-30 22:40:53.848007,165046.83893788958,114799.8484799389,1021520.09177,0.11238139064012322,0.6955592074268103,-906720.2432900611,-50246.990457950684,0.6251885918058677
P024,2019-06-30 22:40:57.478588,,0.0,44729.58,0.0,,-44729.58,,0.55
P024,2019-07-31 22:40:57.478588,,0.0,18263.07,0.0,,-18263.07,,0.55
P024,2019-08-31 22:40:57.478588,2542.5,0.0,27869.52,0.0,0.0,-27869.52,-2542.5,1.0
P024,2019-09-30 22:40:57.478588,,0.0,4054.9,0.0,,-4054.9,,0.55
P024,2019-10-31 22:40:57.478588,,0.0,2535.32,0.0,,-2535.32,,0.55
P024,2019-11-30 22:40:57.478588,,0.0,25138.26999999999,0.0,,-25138.26999999999,,0.55
